Buyers,Seller 1,Seller 2,Seller 3,Seller 4,AveragePrice, AverageDistance, RaijJainFairness
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist] [$=1792 x=359 d=dist] [$=5355 x=850 d=dist] [$=7563 x=498 d=dist],,,466.03094799405636,avgDist,0.5546574130186045
Buyer 2,, [$=8024 x=294 d=dist], [$=8886 x=364 d=dist],,8500.851063829787,avgDist,0.5546574130186045
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist] [$=1792 x=359 d=dist] [$=5355 x=850 d=dist] [$=7563 x=498 d=dist],,,466.03094799405636,avgDist,0.6337948210111117
Buyer 2,, [$=8024 x=294 d=dist], [$=8886 x=364 d=dist] [$=1771 x=835 d=dist],,3419.6657401205625,avgDist,0.6337948210111117
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist] [$=1792 x=359 d=dist] [$=5355 x=850 d=dist] [$=7563 x=498 d=dist],,,466.03094799405636,avgDist,0.6628739821591494
Buyer 2,, [$=8024 x=294 d=dist], [$=8886 x=364 d=dist] [$=1771 x=835 d=dist] [$=2504 x=243 d=dist],,2783.2652937788016,avgDist,0.6628739821591494
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist] [$=1792 x=359 d=dist] [$=5355 x=850 d=dist] [$=7563 x=498 d=dist],,,466.03094799405636,avgDist,0.6388307074656127
Buyer 2,, [$=8024 x=294 d=dist], [$=8886 x=364 d=dist] [$=1771 x=835 d=dist] [$=2504 x=243 d=dist], [$=5759 x=357 d=dist],3290.832083134257,avgDist,0.6388307074656127
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist] [$=1792 x=359 d=dist] [$=5355 x=850 d=dist] [$=7563 x=498 d=dist],,,466.03094799405636,avgDist,0.6658307082954531
Buyer 2,, [$=8024 x=294 d=dist], [$=8886 x=364 d=dist] [$=1771 x=835 d=dist] [$=2504 x=243 d=dist], [$=5759 x=357 d=dist] [$=6177 x=402 d=dist],2730.748268537074,avgDist,0.6658307082954531
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist] [$=1792 x=359 d=dist] [$=5355 x=850 d=dist] [$=7563 x=498 d=dist],,,466.03094799405636,avgDist,0.7268426481823095
Buyer 2,, [$=8024 x=294 d=dist], [$=8886 x=364 d=dist] [$=1771 x=835 d=dist] [$=2504 x=243 d=dist], [$=5759 x=357 d=dist] [$=6177 x=402 d=dist] [$=4061 x=599 d=dist],1942.624130575307,avgDist,0.7268426481823095
